+-------------------+----------+-------------+---------------------------+--------------+---------------+-----------+------------+-----------------------+
| id_periodo        | ticker   | flag_subida | d                         | fecha_inicio | precio_inicio | fecha_fin | precio_fin | diferencia_porcentaje |
| 20060901-20070601 | COL.MC   |           1 | burbuja_inmo_0607         |     20060901 |     1578.4800 |  20070601 |  2384.3999 |          51.056706452 |
| 20060901-20070601 | GCO.MC   |           1 | burbuja_inmo_0607         |     20060901 |       21.5000 |  20070601 |    32.4200 |          50.790697674 |
| 20060901-20070601 | INY.MC   |           1 | burbuja_inmo_0607         |     20060901 |        4.0330 |  20070601 |     6.0800 |          50.756260848 |
| 20060901-20070601 | SPS.MC   |           1 | burbuja_inmo_0607         |     20060901 |       61.0326 |  20070601 |    91.8997 |          50.574774792 |
| 20060901-20070601 | XBBDC.MC |           1 | burbuja_inmo_0607         |     20060901 |        6.1106 |  20070601 |     9.1600 |          49.903446470 |
| 20060901-20070601 | IBE.MC   |           1 | burbuja_inmo_0607         |     20060901 |        7.2550 |  20070601 |    10.7250 |          47.829083391 |
| 20060901-20070601 | XBFR.MC  |           1 | burbuja_inmo_0607         |     20060901 |        1.9700 |  20070601 |     2.9000 |          47.208121827 |
| 20060901-20070601 | ELE.MC   |           1 | burbuja_inmo_0607         |     20060901 |       27.3100 |  20070601 |    40.0100 |          46.503112413 |
| 20060901-20070601 | VID.MC   |           1 | burbuja_inmo_0607         |     20060901 |       18.7800 |  20070601 |    27.1500 |          44.568690096 |
| 20060901-20070601 | PVA.MC   |           1 | burbuja_inmo_0607         |     20060901 |       16.5910 |  20070601 |    23.9274 |          44.219154964 |
| 20060901-20070601 | ACS.MC   |           1 | burbuja_inmo_0607         |     20060901 |       35.2600 |  20070601 |    50.6000 |          43.505388542 |
| 20060901-20070601 | ABG.MC   |           1 | burbuja_inmo_0607         |     20060901 |        4.2200 |  20070601 |     6.0380 |          43.080568720 |
| 20060901-20070601 | BAY.MC   |           1 | burbuja_inmo_0607         |     20060901 |       38.5000 |  20070601 |    54.0000 |          40.259740260 |
| 20060901-20070601 | TUB.MC   |           1 | burbuja_inmo_0607         |     20060901 |        4.6600 |  20070601 |     6.4700 |          38.841201717 |
| 20060901-20070601 | PSG.MC   |           1 | burbuja_inmo_0607         |     20060901 |        2.1230 |  20070601 |     2.9380 |          38.389072068 |
| 20060901-20070601 | ALB.MC   |           1 | burbuja_inmo_0607         |     20060901 |       44.1500 |  20070601 |    60.7000 |          37.485843715 |
| 20060901-20070601 | SCYR.MC  |           1 | burbuja_inmo_0607         |     20060901 |       28.8798 |  20070601 |    39.5286 |          36.872831529 |
